run_id,seed,executor,workload,block_size,num_accounts,threads,compute_cost,skew,elapsed_ns,throughput_tps,scheduling_ns,execution_ns,validation_ns,commit_ns,conflicts_detected,reexecutions,accepted_txs,rejected_txs,final_state_hash,correct_vs_sequential
1-no-conflict-sequential-2-1000,43,sequential,no-conflict,1000,10000,2,1000,1.1,2521208,396635.26373071957,0,1248133,0,232549,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
1-no-conflict-static-2-1000,43,static,no-conflict,1000,10000,2,1000,1.1,3018500,331290.37601457676,835167,1354029,0,293315,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
1-no-conflict-optimistic-2-1000,43,optimistic,no-conflict,1000,10000,2,1000,1.1,2488292,401882.0942236683,0,1519075,84145,247309,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
1-hotspot-sequential-2-1000,43,sequential,hotspot,1000,10000,2,1000,1.1,2145375,466118.97686884576,0,1196506,0,161367,0,0,1000,0,45185c07d7992449281ee63a781a085974cb4781eea6a0b426fe84985d7fa22b,true
1-hotspot-static-2-1000,43,static,hotspot,1000,10000,2,1000,1.1,39009459,25634.808214079563,437167,2107617,0,411253,5994,0,1000,0,45185c07d7992449281ee63a781a085974cb4781eea6a0b426fe84985d7fa22b,true
1-hotspot-optimistic-2-1000,43,optimistic,hotspot,1000,10000,2,1000,1.1,3102834,322286.01336713467,0,2593127,70161,174950,0,999,1000,0,45185c07d7992449281ee63a781a085974cb4781eea6a0b426fe84985d7fa22b,true
1-zipfian-sequential-2-1000,43,sequential,zipfian,1000,10000,2,1000,1.1,2269625,440601.4209395825,0,1233159,0,188053,0,0,1000,0,cf09f453935728100a03fc02b958797292b5a4355d106aa6e3e1603077b29b22,true
1-zipfian-static-2-1000,43,static,zipfian,1000,10000,2,1000,1.1,22192959,45059.33616152762,712000,2215025,0,528457,1323,0,1000,0,cf09f453935728100a03fc02b958797292b5a4355d106aa6e3e1603077b29b22,true
1-zipfian-optimistic-2-1000,43,optimistic,zipfian,1000,10000,2,1000,1.1,2979042,335678.38251357316,0,2404136,77183,193542,0,876,1000,0,cf09f453935728100a03fc02b958797292b5a4355d106aa6e3e1603077b29b22,true
1-token-transfer-sequential-2-1000,43,sequential,token-transfer,1000,10000,2,1000,1.1,2507000,398883.12724371755,0,1250761,0,244301,0,0,1000,0,669dc9d3c63b53f619fe494a68186966810e2549b391a66b37c1ccc863422dd8,true
1-token-transfer-static-2-1000,43,static,token-transfer,1000,10000,2,1000,1.1,3702167,270112.0721998764,825083,1595882,0,286539,63,0,1000,0,669dc9d3c63b53f619fe494a68186966810e2549b391a66b37c1ccc863422dd8,true
1-token-transfer-optimistic-2-1000,43,optimistic,token-transfer,1000,10000,2,1000,1.1,2496125,400620.96249186236,0,1680049,89115,260366,0,169,1000,0,669dc9d3c63b53f619fe494a68186966810e2549b391a66b37c1ccc863422dd8,true
1-private-state-sequential-2-1000,43,sequential,private-state,1000,10000,2,1000,1.1,2528542,395484.82880648214,0,1274321,0,219263,0,0,833,167,15c801c82838a1333a946311de375e73a118607d0dc2a9a5e415e457ddcc7cae,true
1-private-state-static-2-1000,43,static,private-state,1000,10000,2,1000,1.1,43033334,23237.799794921768,455292,2352625,0,395671,3003,0,833,167,15c801c82838a1333a946311de375e73a118607d0dc2a9a5e415e457ddcc7cae,true
