Job started at Sat Jun 20 10:33:51 CST 2026
Host: dribe-00
SLURM_JOB_ID=578276
SLURM_CPUS_PER_TASK=36
Rust: rustc 1.96.0 (ac68faa20 2026-05-25)
Cargo: cargo 1.96.0 (30a34c682 2026-05-25)
Thread matrix: 1,2,4,8,16,32,36
optimistic,token-transfer,1000,16,42,338241.10,correct=Some(true)
sequential,private-state,1000,16,42,327524.15,correct=Some(true)
static,private-state,1000,16,42,25819.53,correct=Some(true)
optimistic,private-state,1000,16,42,257578.14,correct=Some(true)
sequential,no-conflict,1000,16,43,298698.01,correct=Some(true)
static,no-conflict,1000,16,43,255678.69,correct=Some(true)
optimistic,no-conflict,1000,16,43,342580.38,correct=Some(true)
sequential,hotspot,1000,16,43,369262.31,correct=Some(true)
static,hotspot,1000,16,43,28288.72,correct=Some(true)
optimistic,hotspot,1000,16,43,293511.11,correct=Some(true)
sequential,zipfian,1000,16,43,353443.57,correct=Some(true)
static,zipfian,1000,16,43,60077.06,correct=Some(true)
optimistic,zipfian,1000,16,43,302829.33,correct=Some(true)
sequential,token-transfer,1000,16,43,299816.36,correct=Some(true)
static,token-transfer,1000,16,43,188292.85,correct=Some(true)
optimistic,token-transfer,1000,16,43,325651.65,correct=Some(true)
sequential,private-state,1000,16,43,314526.83,correct=Some(true)
static,private-state,1000,16,43,27058.96,correct=Some(true)
optimistic,private-state,1000,16,43,249980.31,correct=Some(true)
sequential,no-conflict,1000,16,44,297193.51,correct=Some(true)
static,no-conflict,1000,16,44,258907.59,correct=Some(true)
optimistic,no-conflict,1000,16,44,357242.89,correct=Some(true)
sequential,hotspot,1000,16,44,368759.44,correct=Some(true)
static,hotspot,1000,16,44,28188.69,correct=Some(true)
optimistic,hotspot,1000,16,44,294043.36,correct=Some(true)
sequential,zipfian,1000,16,44,356124.09,correct=Some(true)
static,zipfian,1000,16,44,57223.83,correct=Some(true)
optimistic,zipfian,1000,16,44,302726.11,correct=Some(true)
sequential,token-transfer,1000,16,44,298419.36,correct=Some(true)
static,token-transfer,1000,16,44,204265.39,correct=Some(true)
optimistic,token-transfer,1000,16,44,331068.82,correct=Some(true)
sequential,private-state,1000,16,44,327138.21,correct=Some(true)
static,private-state,1000,16,44,25261.12,correct=Some(true)
optimistic,private-state,1000,16,44,239842.20,correct=Some(true)
sequential,no-conflict,1000,32,42,297520.85,correct=Some(true)
static,no-conflict,1000,32,42,225996.97,correct=Some(true)
optimistic,no-conflict,1000,32,42,263888.17,correct=Some(true)
sequential,hotspot,1000,32,42,365680.58,correct=Some(true)
static,hotspot,1000,32,42,27736.93,correct=Some(true)
optimistic,hotspot,1000,32,42,219292.96,correct=Some(true)
sequential,zipfian,1000,32,42,345836.00,correct=Some(true)
static,zipfian,1000,32,42,38406.06,correct=Some(true)
optimistic,zipfian,1000,32,42,261488.98,correct=Some(true)
sequential,token-transfer,1000,32,42,269877.78,correct=Some(true)
static,token-transfer,1000,32,42,152015.28,correct=Some(true)
optimistic,token-transfer,1000,32,42,258840.03,correct=Some(true)
sequential,private-state,1000,32,42,322240.94,correct=Some(true)
static,private-state,1000,32,42,27100.70,correct=Some(true)
optimistic,private-state,1000,32,42,214429.01,correct=Some(true)
sequential,no-conflict,1000,32,43,296546.01,correct=Some(true)
static,no-conflict,1000,32,43,223918.43,correct=Some(true)
optimistic,no-conflict,1000,32,43,201556.38,correct=Some(true)
sequential,hotspot,1000,32,43,366176.30,correct=Some(true)
static,hotspot,1000,32,43,27108.59,correct=Some(true)
optimistic,hotspot,1000,32,43,231345.30,correct=Some(true)
sequential,zipfian,1000,32,43,320748.45,correct=Some(true)
static,zipfian,1000,32,43,42876.14,correct=Some(true)
optimistic,zipfian,1000,32,43,229409.78,correct=Some(true)
sequential,token-transfer,1000,32,43,292009.08,correct=Some(true)
static,token-transfer,1000,32,43,144489.71,correct=Some(true)
optimistic,token-transfer,1000,32,43,208330.69,correct=Some(true)
sequential,private-state,1000,32,43,296711.60,correct=Some(true)
static,private-state,1000,32,43,15264.61,correct=Some(true)
optimistic,private-state,1000,32,43,223502.64,correct=Some(true)
sequential,no-conflict,1000,32,44,297828.77,correct=Some(true)
static,no-conflict,1000,32,44,174427.56,correct=Some(true)
optimistic,no-conflict,1000,32,44,301799.78,correct=Some(true)
sequential,hotspot,1000,32,44,362883.02,correct=Some(true)
static,hotspot,1000,32,44,27450.09,correct=Some(true)
optimistic,hotspot,1000,32,44,246149.79,correct=Some(true)
sequential,zipfian,1000,32,44,357230.63,correct=Some(true)
static,zipfian,1000,32,44,39402.22,correct=Some(true)
optimistic,zipfian,1000,32,44,249518.24,correct=Some(true)
sequential,token-transfer,1000,32,44,285485.00,correct=Some(true)
