run_id,seed,executor,workload,block_size,num_accounts,threads,compute_cost,skew,elapsed_ns,throughput_tps,scheduling_ns,execution_ns,validation_ns,commit_ns,conflicts_detected,reexecutions,accepted_txs,rejected_txs,final_state_hash,correct_vs_sequential
0-hotspot-optimistic-2-1000,42,optimistic,hotspot,1000,10000,2,1000,1.1,4122082,242595.85326056104,0,3020574,153509,271429,0,999,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
0-zipfian-sequential-2-1000,42,sequential,zipfian,1000,10000,2,1000,1.1,2879491,347283.59977509914,0,1520073,0,283643,0,0,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-zipfian-static-2-1000,42,static,zipfian,1000,10000,2,1000,1.1,14472100,69098.47223277893,956202,2256134,0,506738,1269,0,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-zipfian-optimistic-2-1000,42,optimistic,zipfian,1000,10000,2,1000,1.1,3769306,265300.8272610396,0,2842949,139119,284159,0,872,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-token-transfer-sequential-2-1000,42,sequential,token-transfer,1000,10000,2,1000,1.1,3363598,297300.68813217274,0,1591112,0,375234,0,0,1000,0,bbcfa924be04469e9cb0ccceeecc20cf11147b9785cdd1365f998ec6c6cd6019,true
0-token-transfer-static-2-1000,42,static,token-transfer,1000,10000,2,1000,1.1,5054631,197838.37831089942,1072985,1792329,0,525214,51,0,1000,0,bbcfa924be04469e9cb0ccceeecc20cf11147b9785cdd1365f998ec6c6cd6019,true
0-token-transfer-optimistic-2-1000,42,optimistic,token-transfer,1000,10000,2,1000,1.1,3313912,301758.1637653625,0,1833518,115066,407069,0,183,1000,0,bbcfa924be04469e9cb0ccceeecc20cf11147b9785cdd1365f998ec6c6cd6019,true
0-private-state-sequential-2-1000,42,sequential,private-state,1000,10000,2,1000,1.1,3167540,315702.4062837407,0,1536931,0,308983,0,0,842,158,4dc1b9cf6d171d2b24ea25fbe3eb7d827dcae0a4a146ba3e92d2491efbfd484b,true
0-private-state-static-2-1000,42,static,private-state,1000,10000,2,1000,1.1,38244711,26147.406369471584,751746,2089621,0,593188,3000,0,842,158,4dc1b9cf6d171d2b24ea25fbe3eb7d827dcae0a4a146ba3e92d2491efbfd484b,true
0-private-state-optimistic-2-1000,42,optimistic,private-state,1000,10000,2,1000,1.1,4304607,232309.24449084434,0,2857387,164259,358356,0,999,842,158,4dc1b9cf6d171d2b24ea25fbe3eb7d827dcae0a4a146ba3e92d2491efbfd484b,true
1-no-conflict-sequential-2-1000,43,sequential,no-conflict,1000,10000,2,1000,1.1,3308961,302209.6664179481,0,1580873,0,378215,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
1-no-conflict-static-2-1000,43,static,no-conflict,1000,10000,2,1000,1.1,4088765,244572.6276760831,1093511,1543264,0,466964,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
1-no-conflict-optimistic-2-1000,43,optimistic,no-conflict,1000,10000,2,1000,1.1,3314356,301717.7394341465,0,1566905,124400,488894,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
1-hotspot-sequential-2-1000,43,sequential,hotspot,1000,10000,2,1000,1.1,2698619,370559.90489950596,0,1471482,0,263562,0,0,1000,0,45185c07d7992449281ee63a781a085974cb4781eea6a0b426fe84985d7fa22b,true
1-hotspot-static-2-1000,43,static,hotspot,1000,10000,2,1000,1.1,32726204,30556.55339678259,638374,2239127,0,551812,5994,0,1000,0,45185c07d7992449281ee63a781a085974cb4781eea6a0b426fe84985d7fa22b,true
1-hotspot-optimistic-2-1000,43,optimistic,hotspot,1000,10000,2,1000,1.1,3802079,263013.99839403655,0,2960591,140686,263644,0,999,1000,0,45185c07d7992449281ee63a781a085974cb4781eea6a0b426fe84985d7fa22b,true
1-zipfian-sequential-2-1000,43,sequential,zipfian,1000,10000,2,1000,1.1,2910360,343600.1044544318,0,1547882,0,298522,0,0,1000,0,cf09f453935728100a03fc02b958797292b5a4355d106aa6e3e1603077b29b22,true
1-zipfian-static-2-1000,43,static,zipfian,1000,10000,2,1000,1.1,13248441,75480.57918663789,937627,2221525,0,488695,1323,0,1000,0,cf09f453935728100a03fc02b958797292b5a4355d106aa6e3e1603077b29b22,true
1-zipfian-optimistic-2-1000,43,optimistic,zipfian,1000,10000,2,1000,1.1,3668737,272573.36789200205,0,2783925,120984,274196,0,876,1000,0,cf09f453935728100a03fc02b958797292b5a4355d106aa6e3e1603077b29b22,true
1-token-transfer-sequential-2-1000,43,sequential,token-transfer,1000,10000,2,1000,1.1,3274206,305417.5577223913,0,1582916,0,376294,0,0,1000,0,669dc9d3c63b53f619fe494a68186966810e2549b391a66b37c1ccc863422dd8,true
1-token-transfer-static-2-1000,43,static,token-transfer,1000,10000,2,1000,1.1,4835429,206806.88311212926,1029686,1768604,0,501553,63,0,1000,0,669dc9d3c63b53f619fe494a68186966810e2549b391a66b37c1ccc863422dd8,true
1-token-transfer-optimistic-2-1000,43,optimistic,token-transfer,1000,10000,2,1000,1.1,3325448,300711.3627998393,0,1813209,118482,435052,0,169,1000,0,669dc9d3c63b53f619fe494a68186966810e2549b391a66b37c1ccc863422dd8,true
1-private-state-sequential-2-1000,43,sequential,private-state,1000,10000,2,1000,1.1,3195337,312956.0356231596,0,1543589,0,309098,0,0,833,167,15c801c82838a1333a946311de375e73a118607d0dc2a9a5e415e457ddcc7cae,true
1-private-state-static-2-1000,43,static,private-state,1000,10000,2,1000,1.1,38388898,26049.19786965492,749269,2117523,0,703081,3003,0,833,167,15c801c82838a1333a946311de375e73a118607d0dc2a9a5e415e457ddcc7cae,true
1-private-state-optimistic-2-1000,43,optimistic,private-state,1000,10000,2,1000,1.1,4645271,215272.69345534415,0,3015836,186103,399161,0,999,833,167,15c801c82838a1333a946311de375e73a118607d0dc2a9a5e415e457ddcc7cae,true
2-no-conflict-sequential-2-1000,44,sequential,no-conflict,1000,10000,2,1000,1.1,3306252,302457.2839577866,0,1583326,0,376858,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
